0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
9	Concourse	In Gate	2631	332	15	0	1	2	FALSE	FALSE	FALSE	-1	15	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
10	Concourse	Out Gate	1305	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"4,7"	16	16	16	16	16	16
11	Concourse	In Gate	1305	412	0	15	1	2	FALSE	FALSE	FALSE	-1	17	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
12	Concourse	Out Gate	1645	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"7,2"	18	18	18	18	18	18
13	Concourse	In Gate	1645	412	0	15	1	2	FALSE	FALSE	FALSE	-1	19	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
14	Concourse	In Gate	405	332	15	0	1	2	FALSE	FALSE	FALSE	-1	8	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
15	Concourse	Out Gate	2731	332	15	0	2	1	FALSE	FALSE	FALSE	-1	1	9	9	9	9	9	9
16	Concourse	In Gate	1305	321	0	15	1	2	FALSE	FALSE	FALSE	-1	10	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
17	Concourse	Out Gate	1305	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"5,6"	11	11	11	11	11	11
18	Concourse	In Gate	1645	321	0	15	1	2	FALSE	FALSE	FALSE	-1	12	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
19	Concourse	Out Gate	1645	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"6,3"	13	13	13	13	13	13
20	Concourse	Out Gate	305	347	15	0	2	1	FALSE	FALSE	FALSE	-1	0	26	26	26	26	26	26
21	Concourse	In Gate	2631	347	15	0	1	2	FALSE	FALSE	FALSE	-1	27	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
22	Concourse	Out Gate	1320	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"4,7"	28	28	28	28	28	28
23	Concourse	In Gate	1320	412	0	15	1	2	FALSE	FALSE	FALSE	-1	29	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
24	Concourse	Out Gate	1660	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"7,2"	30	30	30	30	30	30
25	Concourse	In Gate	1660	412	0	15	1	2	FALSE	FALSE	FALSE	-1	31	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
26	Concourse	In Gate	405	347	15	0	1	2	FALSE	FALSE	FALSE	-1	20	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
27	Concourse	Out Gate	2731	347	15	0	2	1	FALSE	FALSE	FALSE	-1	1	21	21	21	21	21	21
28	Concourse	In Gate	1320	321	0	15	1	2	FALSE	FALSE	FALSE	-1	22	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
29	Concourse	Out Gate	1320	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"5,6"	23	23	23	23	23	23
30	Concourse	In Gate	1660	321	0	15	1	2	FALSE	FALSE	FALSE	-1	24	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
31	Concourse	Out Gate	1660	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"6,3"	25	25	25	25	25	25
32	Concourse	Out Gate	305	362	15	0	2	1	FALSE	FALSE	FALSE	-1	0	38	38	38	38	38	38
33	Concourse	In Gate	2631	362	15	0	1	2	FALSE	FALSE	FALSE	-1	39	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
34	Concourse	Out Gate	1335	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"4,7"	40	40	40	40	40	40
35	Concourse	In Gate	1335	412	0	15	1	2	FALSE	FALSE	FALSE	-1	41	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
36	Concourse	Out Gate	1675	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"7,2"	42	42	42	42	42	42
37	Concourse	In Gate	1675	412	0	15	1	2	FALSE	FALSE	FALSE	-1	43	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
38	Concourse	In Gate	405	362	15	0	1	2	FALSE	FALSE	FALSE	-1	32	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
39	Concourse	Out Gate	2731	362	15	0	2	1	FALSE	FALSE	FALSE	-1	1	33	33	33	33	33	33
40	Concourse	In Gate	1335	321	0	15	1	2	FALSE	FALSE	FALSE	-1	34	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
41	Concourse	Out Gate	1335	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"5,6"	35	35	35	35	35	35
42	Concourse	In Gate	1675	321	0	15	1	2	FALSE	FALSE	FALSE	-1	36	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
43	Concourse	Out Gate	1675	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"6,3"	37	37	37	37	37	37
44	Concourse	Out Gate	305	377	15	0	2	1	FALSE	FALSE	FALSE	-1	0	50	50	50	50	50	50
45	Concourse	In Gate	2631	377	15	0	1	2	FALSE	FALSE	FALSE	-1	51	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
46	Concourse	Out Gate	1350	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"4,7"	52	52	52	52	52	52
47	Concourse	In Gate	1350	412	0	15	1	2	FALSE	FALSE	FALSE	-1	53	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
48	Concourse	Out Gate	1690	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"7,2"	54	54	54	54	54	54
49	Concourse	In Gate	1690	412	0	15	1	2	FALSE	FALSE	FALSE	-1	55	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
50	Concourse	In Gate	405	377	15	0	1	2	FALSE	FALSE	FALSE	-1	44	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
51	Concourse	Out Gate	2731	377	15	0	2	1	FALSE	FALSE	FALSE	-1	1	45	45	45	45	45	45
52	Concourse	In Gate	1350	321	0	15	1	2	FALSE	FALSE	FALSE	-1	46	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
53	Concourse	Out Gate	1350	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"5,6"	47	47	47	47	47	47
54	Concourse	In Gate	1690	321	0	15	1	2	FALSE	FALSE	FALSE	-1	48	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
55	Concourse	Out Gate	1690	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"6,3"	49	49	49	49	49	49
56	Concourse	Out Gate	305	392	15	0	2	1	FALSE	FALSE	FALSE	-1	0	62	62	62	62	62	62
57	Concourse	In Gate	2631	392	15	0	1	2	FALSE	FALSE	FALSE	-1	63	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
58	Concourse	Out Gate	1365	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"4,7"	64	64	64	64	64	64
59	Concourse	In Gate	1365	412	0	15	1	2	FALSE	FALSE	FALSE	-1	65	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
60	Concourse	Out Gate	1705	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"7,2"	66	66	66	66	66	66
61	Concourse	In Gate	1705	412	0	15	1	2	FALSE	FALSE	FALSE	-1	67	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
62	Concourse	In Gate	405	392	15	0	1	2	FALSE	FALSE	FALSE	-1	56	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
63	Concourse	Out Gate	2731	392	15	0	2	1	FALSE	FALSE	FALSE	-1	1	57	57	57	57	57	57
64	Concourse	In Gate	1365	321	0	15	1	2	FALSE	FALSE	FALSE	-1	58	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
65	Concourse	Out Gate	1365	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"5,6"	59	59	59	59	59	59
66	Concourse	In Gate	1705	321	0	15	1	2	FALSE	FALSE	FALSE	-1	60	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
67	Concourse	Out Gate	1705	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"6,3"	61	61	61	61	61	61
68	Concourse	Out Gate	305	407	15	0	2	1	FALSE	FALSE	FALSE	-1	0	74	74	74	74	74	74
69	Concourse	In Gate	2631	407	15	0	1	2	FALSE	FALSE	FALSE	-1	75	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
70	Concourse	Out Gate	1380	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"4,7"	76	76	76	76	76	76
71	Concourse	In Gate	1380	412	0	15	1	2	FALSE	FALSE	FALSE	-1	77	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
72	Concourse	Out Gate	1720	156	0	15	2	1	FALSE	FALSE	FALSE	-1	"7,2"	78	78	78	78	78	78
73	Concourse	In Gate	1720	412	0	15	1	2	FALSE	FALSE	FALSE	-1	79	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
74	Concourse	In Gate	405	407	15	0	1	2	FALSE	FALSE	FALSE	-1	68	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
75	Concourse	Out Gate	2731	407	15	0	2	1	FALSE	FALSE	FALSE	-1	1	69	69	69	69	69	69
76	Concourse	In Gate	1380	321	0	15	1	2	FALSE	FALSE	FALSE	-1	70	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
77	Concourse	Out Gate	1380	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"5,6"	71	71	71	71	71	71
78	Concourse	In Gate	1720	321	0	15	1	2	FALSE	FALSE	FALSE	-1	72	"84,110,136,162"	"84,110,136,162"	"97,123,149,175"	"110,136"	"123,175"	"123,175"
79	Concourse	Out Gate	1720	577	0	15	2	1	FALSE	FALSE	FALSE	-1	"6,3"	73	73	73	73	73	73
80	Concourse	Stairs	593	263	0	25	1	0	FALSE	TRUE	FALSE	-1	106	137	137	-1	-1	-1	-1
81	Concourse	Stairs	827	242	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
82	Concourse	Stairs	827	285	0	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	141	-1	-1
83	Concourse	Stairs	1054	263	0	25	1.5	1	FALSE	FALSE	FALSE	-1	110	109	109	-1	-1	-1	-1
84	Concourse	Helper	786	325	25	20	2	1.5	FALSE	FALSE	FALSE	0	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	106	106	-1	-1	-1	-1
85	Platform 1 & 2	Stairs	434	876	0	25	1	1.5	FALSE	FALSE	FALSE	-1	137	184	194	-1	-1	-1	-1
86	Platform 1 & 2	Stairs	1211	876	0	25	0	1	TRUE	FALSE	FALSE	-1	109	138	138	-1	-1	-1	-1
87	Platform 1 & 2	Stairs	698	856	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
88	Platform 1 & 2	Stairs	897	897	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
89	Platform 4	Stairs	587	1508	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
90	Platform 4	Stairs	1070	1474	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
91	Platform 4	Stairs	795	1508	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
92	Platform 4	Stairs	912	1473	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
93	Concourse	Stairs	1825	263	0	25	1	0	FALSE	TRUE	FALSE	-1	119	163	163	-1	-1	-1	-1
94	Concourse	Stairs	2059	242	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
95	Concourse	Stairs	2059	285	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	121	-1	-1
96	Concourse	Stairs	2286	263	0	25	1.5	1	FALSE	FALSE	FALSE	-1	162	122	122	-1	-1	-1	-1
97	Concourse	Helper	786	409	25	20	2	1.5	FALSE	FALSE	FALSE	1	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	-1	-1	158	-1	-1	-1
98	Platform 3	Stairs	434	1083	0	25	1	1.5	FALSE	FALSE	FALSE	-1	150	-1	-1	204	-1	-1	-1
99	Platform 3	Stairs	1211	1083	0	25	0	1	TRUE	FALSE	FALSE	-1	161	-1	-1	151	-1	-1	-1
100	Platform 3	Stairs	698	1102	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
101	Platform 3	Stairs	897	1065	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
102	Platform 5 & 6	Stairs	587	1672	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
103	Platform 5 & 6	Stairs	1070	1700	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
104	Platform 5 & 6	Stairs	795	1671	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
105	Platform 5 & 6	Stairs	912	1701	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
106	Concourse	Stairs	747	263	0	25	1.5	1	FALSE	FALSE	FALSE	-1	84	80	80	-1	-1	-1	-1
107	Concourse	Stairs	981	242	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
108	Concourse	Stairs	981	285	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	82	-1	-1
109	Concourse	Stairs	1208	263	0	25	1	0	FALSE	TRUE	FALSE	-1	83	86	86	-1	-1	-1	-1
110	Concourse	Helper	1015	325	25	20	2	1.5	FALSE	FALSE	FALSE	8	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	83	83	-1	108	-1	-1
111	Platform 1 & 2	Stairs	1662	876	0	25	1	1.5	FALSE	FALSE	FALSE	-1	163	187	197	-1	-1	-1	-1
112	Platform 1 & 2	Stairs	2439	876	0	25	0	1	TRUE	FALSE	FALSE	-1	122	164	164	-1	-1	-1	-1
113	Platform 1 & 2	Stairs	2144	856	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
114	Platform 1 & 2	Stairs	1945	897	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
115	Platform 4	Stairs	2317	1508	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
116	Platform 4	Stairs	1817	1474	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
117	Platform 4	Stairs	2162	1508	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
118	Platform 4	Stairs	2027	1473	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
119	Concourse	Stairs	1979	263	0	25	1.5	1	FALSE	FALSE	FALSE	-1	136	93	93	-1	-1	-1	-1
120	Concourse	Stairs	2213	242	0	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
121	Concourse	Stairs	2213	285	15	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	115	-1	-1
122	Concourse	Stairs	2440	263	0	25	1	0	FALSE	TRUE	FALSE	-1	96	112	112	-1	-1	-1	-1
123	Concourse	Helper	1015	409	25	20	2	1.5	FALSE	FALSE	FALSE	9	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	-1	-1	135	-1	159	159
124	Platform 3	Stairs	1662	1083	0	25	1	1.5	FALSE	FALSE	FALSE	-1	176	-1	-1	207	-1	-1	-1
125	Platform 3	Stairs	2439	1083	0	25	0	1	TRUE	FALSE	FALSE	-1	174	-1	-1	177	-1	-1	-1
126	Platform 3	Stairs	2144	1102	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
127	Platform 3	Stairs	1945	1065	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
128	Platform 5 & 6	Stairs	2317	1672	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
129	Platform 5 & 6	Stairs	1817	1700	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
130	Platform 5 & 6	Stairs	2162	1671	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
131	Platform 5 & 6	Stairs	2027	1701	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
132	Concourse	Stairs	593	471	0	25	1	0	FALSE	TRUE	FALSE	-1	158	-1	-1	150	-1	-1	-1
133	Concourse	Stairs	827	450	0	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	154	154
134	Concourse	Stairs	827	493	0	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
135	Concourse	Stairs	1054	471	0	25	1.5	1	FALSE	FALSE	FALSE	-1	123	-1	-1	161	-1	-1	-1
136	Concourse	Helper	2016	325	25	20	2	1.5	FALSE	FALSE	FALSE	2	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	119	119	-1	95	-1	-1
137	Platform 1 & 2	Stairs	589	876	0	25	0	1	TRUE	FALSE	FALSE	-1	80	85	85	-1	-1	-1	-1
138	Platform 1 & 2	Stairs	1366	876	0	25	1	1.5	FALSE	FALSE	FALSE	-1	86	186	196	-1	-1	-1	-1
139	Platform 1 & 2	Stairs	897	856	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
140	Platform 1 & 2	Stairs	1096	897	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
141	Platform 4	Stairs	719	1508	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
142	Platform 4	Stairs	1206	1474	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
143	Platform 4	Stairs	882	1508	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
144	Platform 4	Stairs	1000	1473	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
145	Concourse	Stairs	1825	471	0	25	1	0	FALSE	TRUE	FALSE	-1	171	-1	-1	176	-1	-1	-1
146	Concourse	Stairs	2059	450	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	172	172
147	Concourse	Stairs	2059	493	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
148	Concourse	Stairs	2286	471	0	25	1.5	1	FALSE	FALSE	FALSE	-1	175	-1	-1	174	-1	-1	-1
149	Concourse	Helper	2016	409	25	20	2	1.5	FALSE	FALSE	FALSE	3	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	-1	-1	171	-1	146	146
150	Platform 3	Stairs	589	1083	0	25	0	1	TRUE	FALSE	FALSE	-1	132	-1	-1	98	-1	-1	-1
151	Platform 3	Stairs	1366	1083	0	25	1	1.5	FALSE	FALSE	FALSE	-1	99	-1	-1	206	-1	-1	-1
152	Platform 3	Stairs	897	1102	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
153	Platform 3	Stairs	1096	1065	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
154	Platform 5 & 6	Stairs	719	1672	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
155	Platform 5 & 6	Stairs	1206	1700	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
156	Platform 5 & 6	Stairs	882	1671	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
157	Platform 5 & 6	Stairs	1000	1701	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
158	Concourse	Stairs	747	471	0	25	1.5	1	FALSE	FALSE	FALSE	-1	97	-1	-1	132	-1	-1	-1
159	Concourse	Stairs	981	450	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	133	133
160	Concourse	Stairs	981	493	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
161	Concourse	Stairs	1208	471	0	25	1	0	FALSE	TRUE	FALSE	-1	135	-1	-1	99	-1	-1	-1
162	Concourse	Helper	2245	325	25	20	2	1.5	FALSE	FALSE	FALSE	10	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	96	96	-1	-1	-1	-1
163	Platform 1 & 2	Stairs	1817	876	0	25	0	1	TRUE	FALSE	FALSE	-1	93	111	111	-1	-1	-1	-1
164	Platform 1 & 2	Stairs	2594	876	0	25	1	1.5	FALSE	FALSE	FALSE	-1	112	189	199	-1	-1	-1	-1
165	Platform 1 & 2	Stairs	2343	856	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
166	Platform 1 & 2	Stairs	2144	897	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
167	Platform 4	Stairs	2449	1508	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
168	Platform 4	Stairs	1953	1474	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
169	Platform 4	Stairs	2249	1508	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
170	Platform 4	Stairs	2115	1473	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
171	Concourse	Stairs	1979	471	0	25	1.5	1	FALSE	FALSE	FALSE	-1	149	-1	-1	145	-1	-1	-1
172	Concourse	Stairs	2213	450	0	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	128	128
173	Concourse	Stairs	2213	493	0	15	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
174	Concourse	Stairs	2440	471	0	25	1	0	FALSE	TRUE	FALSE	-1	148	-1	-1	125	-1	-1	-1
175	Concourse	Helper	2245	409	25	20	2	1.5	FALSE	FALSE	FALSE	11	"14,26,38,50,62,74,16,28,40,52,64,76,11,12,35,47,59,71,18,30,42,54,66,78,13,25,37,49,61,73,9,21,33,45,57,69"	-1	-1	148	-1	-1	-1
176	Platform 3	Stairs	1817	1083	0	25	0	1	TRUE	FALSE	FALSE	-1	145	-1	-1	124	-1	-1	-1
177	Platform 3	Stairs	2594	1083	0	25	1	1.5	FALSE	FALSE	FALSE	-1	125	-1	-1	209	-1	-1	-1
178	Platform 3	Stairs	2343	1102	0	15	1.5	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
